discord_userid,discord_username,roblox_username
1402299012308271164,Navaldex,Navaldex
730642159731998774,lazyslothster,atomch565
1080039878340915222,coldywzz,Oyen_oren452
916284120714321940,luka_modric247,udhakds_noob2pro
1024266899745406986,alternativeforanalternative,BallisticsBlast
1207314080377868322,wassoiguy,sarrakadem
886248052271243274,help_me5895,bloamedYt
1206280220244451398,me02470,ilove_tanksngl
712687735432806520,ploofilization,JacedareIIe
862454269714497556,siber1910,diegoPRO728
1037523727010758756,the_fake_medic,Drbright1903
1384339714055733309,mr.wrong0327,Nuclear_Pan
1339225790017044584,gabry.r.,Ibrahimovic312
1340294038141534258,navalblade,yoyoyoyoyNiv
1395368732666101850,dum_snatcher01,nighthunter712
838304838298501130,jukeboxthesecond,Jadosuperrfann
960216225936441344,yikticx,OverI3test_thank
850315153371168789,romechplayz, Rojackterminater
235088799074484224,Rythm,Rythm
1230257377752776715,mr_weener,DocRyder212
1387430937410932777,josh_1_1_1_1,tinydino340
1071193045405536406,shapeless.meadows,Atlas_Pendulum
999736048596816014,Ballsdex,Ballsdex
1286746300095922239,sadtoast01,im_jag15
1279396595615400038,onelegitperson_01421,Jollygirl90865
1286991372590645310,hailthenightmares,chc907
1043953586419281962,themightybismarck1,TheMightyBismarck1
1336532801348178034,.seaside1223,TheHunterZ_1213
1176083017727488074,stellanakal,djsherly
1328491518620602509,faxuallus,faxuallus_TOBA
421945760683130880,daryl7579,drryltn
909323621753843723,tikno_,Dang_Lots
1067685191491006505,cloaker_429days,SHREK_SLAYER141
1187644569484013641,pillowcenat67,ayam_sering
969258491313270864,nitwhit.12,Renowhale1661
898591162233925682,bwaynem,waynetse0424
1027917028188749904,kitpluscat,SuperRobloxGamer_X
235148962103951360,Carl-bot,Big Wass
928118038719500399,voidice,EliteUnitBlue
1225186115422650469,erikaadolf1939,Crek23
1328121397666512897,shady069828,Sawyerlikeswolf2
1373492996145680418,jovial_unicorn_19201,elegantwaffle25
1127930229877395517,d3lta_force,Risky_Lisky123
1402336590331772929,n0vanother3,gmorgan_2009
1013447993225134121,scorpii1,2e9m
668554548431814686,mustange,Mustang2049
1322902758705336331,sapporohokkaido,mikinakae
1249023344762818596,jack.exe.,JACK_EXE777
1072044680923066408,ikea_7543,ikea_7543
944660291315175546,obi_wan_toadi,minicrewposter
762377370279215144,doppelganger20,dead mf ðŸ˜‚ ðŸ˜‚ ðŸ¤£ ðŸ¤£
1030937402040139856,ampersandium,Ampersandium
848933240723210241,display8259,xdj3pr
1045290574816751616,yl_lxyu27,Postre_NightXD
940613177178198046,8vix,exdendri
1037009866377678878,.securitytaken.,SecuritySeb
869577555840213012,somthingdem,demskeels505
536771487902859264,.britishbloke,Tommyplays1912
1066612457403076648,icommitdoodle,SUS_TomDragonz
1053615568944640080,goergegigglington,Robo_layer
994823657996177458,princedogethethird,Dragonslayer_1107
761969683683213372,theoremoftriangles,samchaojack
1301546487003746355,icecubeicecream,Icecubeicecream1
936237616217587722,nariner,Nariner772
1130376651583266826,x_chisato_xx,Pure_Boycyp015
918313449656840202,whosriyon,Riyon315
803113397213462588,itsallpixels,Reality_Arts
1119627565389332501,paopaolong9,paopaolong9
699706007084859453,ray_goes_yard,Footmanjoe
1307407352697192510,modata_,RakuzanModata
890391893136011285,vacant8850,infinite_south
1030197648721969253,theburningsparrow,XxjadenbossbxX
1037359630097076225,atkpen,penny09n2
888429512226922526,ravedarester,apk989
827832454982402059,.dynamoe,meep_master32
1089419461934727199,amongus5656,phoenixs988
1058715960057540728,meltisay,meltisay
1115566776625922149,1mzo1mz0,ilovepoland696969
1281972980150440040,yoshuze,Yoshuze
1331414587232223309,salvii0973,Salvi44i
737030935996006450,electricx_is_pro,Electric_pants123
1265122261778567219,atanamirhendrik,Vreugde5
1388765059370586182,whitestuka2,whitestuka2
1393138671208759377,acchy0516,xenogeer
1193555060047745056,whentheit,GustyMeerkat
1250827450594754760,indecisivehenry,IndecisiveHenry
892785060858699786,o5yt_rico,Ricocoolde
1332408760165208156,alh4n_z,William_randomdude
959788112526061599,ok.hai_darling,jtfhdllv4
430111748050124801,_mirovic,OreGIO
835355123341066292,yiobangua,yiobangua
1177267159899062383,deleted_user011_oa,BraxtonGriffiths1
1274756794622677022,kep1erving,kep1erving
860229774005239828,.makeitwithyou,Olah1982
1360907063479242763,valt_aoi207,juanenriquo0803
568495237060624398,swagalitouness,swagalitousness
1150736270738333697,nosoytoertilla_69204,alanj221
1003512383685263381,akimboknocks,ScaryxxJuanjo256
1347099224982032395,celt0913,llovecookiesoo123
1260220495626899526,pierrejoaquin_unitedkingdom,PJ121313
1107272000109559898,zczrzyz,zczrzyz
1081314550307098694,kushagra7673,Harmlesspotato60
1158361006356041740,flxyed,hellosportyperson484
1173275885189738558,showershitteramiel,AM1EL_HADEEF
1232072960299368599,nikk_32983,nickjrtoday8
155149108183695360,Dyno,Dyno
897476441749471262,mokeyu,Pope Freem III
876672504280780880,goodmobilerobloxplayer,TheJazzB
1230130106719272980,theunknown098965334,ITSCONCEPTFILM
1222053149473505321,warriorcreeper.,warriorcreeper123
659193269942616076,subabarin2139,sturgeon_god
1255065022875304039,meow_toast,ReincarnatedAsToast
719317545651404872,aufcon,Ant1_P4rry
1032280115511558174,waah3325,NOZBN_2
616496814652129280,dead5546,dead5546
1004894229262237727,flight_lieutenant_ducky,257dt
1392601923634598059,squagy445,Capt_army1234
835759915673976853,wintuuza1,wintuuza1
619909587138773023,pheastin,almtuyung
1377297066904125450,sigmaflmes,sigmatharuka
656929866133929986,avela08,Ren4049M
1144774850540478587,w4lk3r_12,luc4s141112
987621851666718750,deltarization,Jacedarelle
1121254900563705958,EZ,EZ
949479338275913799,Make it a Quote,Reality Generator 67
856792067103391744,psidraze,99_iRevenge96
1065567825726541884,jameskii2,mrtomatot
513423712582762502,TTS Bot,TTS
785729729537638401,keytohell,EJGamer0915
880834681644408892,kmsbismarck5959,hams3297
798061986004205578,north.iv,North_IV
1283461830131454116,hybrid_journal2345,Soviet_Union2345
1256304028455932106,who.areyou1,Blazinghotjj
1415325803180331048,opagangnamkominotski,kominotski
1051976566214766632,eehookoo,eehookoo
478644410096156672,pointymctest2,pointymctest2
1118797271107121253,myra_11,myrahumaira11
443217836983189504,arifrad_speed_113,radspeed113
1101373183048818708,slaverylegali,the903storageaccount
1407609325840633877,kyriearendil2,KyriEarendil
1069050654624055326,engineertf21,Someone
1213715875648245773,targec_groceries,Targec_Ceo
838567846933954600,sulista_com_calor,Blitzmeianove
571661221854707713,Assyst,Assyst
1229826836771377255,17krist,Shadoc389
911521189812391966,mostlymono,MostlyMono
1372825829352144969,coolblock5055_alt,UglyBlock5055
871448305161338922,minflaw,PIRATE_KINGLUFFY06
1261309416439943230,wells01514,EPSON7070
1151872484937834496,gigachad_darsh,gutalidarsh
980105142898671649,taxolous,Lion King I
1185259702171484304,nikocamera1,Danneilus
1048957953660690432,zelethea,Zelethea
1292977567350919279,coolbeans08125,xXTreadstoneXx
869503277518164018,apageofabook, jp9999999kakalog
961414109805568120,danillo1_,DaniloBR947
975851504936300644,malaysiasoldier2, Lazy Malaysiasoldier2
757761563116568692,lelouch_76,cooperativegem3521
1233310824735703106,fabianmaster777.,RoBdabestofalltime
1231281547907174463,nikoknot1,Nikoknot
1363210423855218949,pigeoneater0635,Lukas10856
1094384328181551216,dinie_blox,dinieilman24
1311701546295361608,leepiccountryballer,NoobyOfNooblandia
980960040418684958,dv_men,Cesar6324_2
1182466218565828611,dummy_03499,BlueSeaDrive
570358869235073042,tyavaj,RobTristin
1302542217654833223,johnthegoat12364,drnjsjsjsjrj
822625809390895114,rhfifcdhdc,rhfifcdhdc
703494331675443250,idontknowwhattonamemyself0967,rainbow_dash5364
1305119253560688701,notakorean,NotKorian
745251768832884758,duwang1504,asvcjits
748888893650239578,netharian_order_nethy,MrNetherriteMaster
1099952404809658448,not_baconlegend,Not_BaconLegend
1152943177548955700,gaventara,YeetMobile200
1144069697483055154,pirozed.,Pirozed
1190039242202689659,spacebird15,edward4444444
1158191990253559858,thedev2008,MrUnknownPlqyer
1113195071999840287,notsymbolic_,NotSymbolic
793414476660998164,leekarn,Leekarn
1308774802168741929,andre_hanami,sersertiolo
1383174617505599498,noctuliandirlewangersleeperagent, davindaviny
1297903462893490241,mochi13334,tamanim1_4
